Unique_ID,CloneLine,GS,boxID,age,tray,WID,D_DAY,corr_last_frame_present,died,N_OV,diedBCphase,EYES,coVDBF,H,DTA,DBF,RMSD,
B16_6PG,B,16,B16_6,1,NA,PG,NA,lastframe,0,NA,0,NA,0.97,5.48,16.75,9.71,14.92,
B16_6PO,B,16,B16_6,1,NA,PO,NA,lastframe,0,NA,0,NA,0.92,5.52,16.94,10.70,15.30,
B16_6PP,B,16,B16_6,1,NA,PP,NA,lastframe,0,NA,0,NA,0.93,5.57,17.24,10.50,15.42,
B16_7BB,B,16,B16_7,1,NA,BB,NA,lastframe,0,NA,0,NA,0.91,5.63,17.88,9.97,15.61,
B16_7BG,B,16,B16_7,1,NA,BG,NA,lastframe,0,NA,0,NA,0.89,5.56,17.67,10.05,15.10,
B16_7BO,B,16,B16_7,1,NA,BO,NA,lastframe,0,NA,0,NA,0.95,5.52,16.74,9.46,14.00,
B16_7BP,B,16,B16_7,1,NA,BP,NA,lastframe,0,NA,0,NA,0.93,5.47,17.28,9.77,14.67,
B16_7GB,B,16,B16_7,1,NA,GB,NA,lastframe,0,NA,0,NA,0.92,5.44,16.97,9.30,13.86,
B16_7GG,B,16,B16_7,1,NA,GG,NA,lastframe,0,NA,0,NA,0.95,5.47,17.15,8.95,14.45,
B16_7GO,B,16,B16_7,1,NA,GO,NA,lastframe,0,NA,0,NA,0.89,5.54,16.68,9.14,13.22,
B16_7GP,B,16,B16_7,1,NA,GP,NA,lastframe,0,NA,0,NA,0.86,5.54,17.09,9.70,14.44,
B16_7OB,B,16,B16_7,1,NA,OB,NA,lastframe,0,NA,0,NA,0.95,5.37,16.44,8.81,13.59,
B16_7OG,B,16,B16_7,1,NA,OG,NA,lastframe,0,NA,0,NA,0.86,5.38,16.50,8.70,13.12,
B16_7OO,B,16,B16_7,1,NA,OO,NA,lastframe,0,NA,0,NA,0.91,5.51,17.59,10.17,15.76,
